force_x,force_y,force_z,sensor_x,sensor_y,sensor_z,corrected_x,corrected_y,corrected_z,,,,,,,,,,,,
0,0,0,110700,-550610,945480,243260,-550040,1147140,,,z up,0,0,0,243260,-550040,1147140,,,
-61,0,0,6630,-551160,944220,139190,-550590,1145880,,,z down,0,0,0,252760,-548360,745960,9500,1680,-401180
-283,0,0,-367550,-548700,938360,-234990,-548130,1140020,,,align to x,0,0,0,110700,-550610,945480,-132560,-570,-201660
-465,0,0,-672200,-547260,932650,-539640,-546690,1134310,,,align to y,0,0,0,247920,-467770,943700,4660,82270,-203440
-1054,0,0,-1663480,-544000,911180,-1530920,-543430,1112840,,,,,,,,,,,,
-1926,0,0,-3130950,-540200,868050,-2998390,-539630,1069710,,,,,,,,,,,,
0,0,0,247920,-467770,943700,243260,-550040,1147140,,,,,,,,,,,,
0,61,0,248210,-361760,942420,243550,-444030,1145860,,,,,,,,,,,,
0,283,0,249160,18420,936940,244500,-63850,1140380,,,,,,,,,,,,
0,465,0,249800,327920,931900,245140,245650,1135340,,,,,,,,,,,,
0,1054,0,250560,1338140,922500,245900,1255870,1125940,,,,,,,,,,,,
0,1926,0,246840,2840980,932500,242180,2758710,1135940,,,,,,,,,,,,
0,0,0,252760,-548360,745960,243260,-550040,1147140,,,,,,,,,,,,
0,0,-61,254300,-546110,641810,244800,-547790,1042990,,,,,,,,,,,,
0,0,-283,258200,-539950,267920,248700,-541630,669100,,,,,,,,,,,,
0,0,-465,260700,-536000,-36680,251200,-537680,364500,,,,,,,,,,,,
0,0,-1054,270200,-516260,-1027240,260700,-517940,-626060,,,,,,,,,,,,
0,0,-1926,288600,-485900,-2493820,279100,-487580,-2092640,,,,,,,,,,,,
